"escopo";"codigo";"recurso";"acao";"origem";"descricao"
"seccional";"integracoes-sarh:executar:seccional";"integracoes-sarh";"executar";"gerada automaticamente";"Executar carga inicial ou sincronização manual com o SARH. Abrangencia: seccional."
"seccional";"integracoes-sarh:reprocessar:seccional";"integracoes-sarh";"reprocessar";"gerada automaticamente";"Reprocessar item, matrícula, unidade, cargo ou execução SARH com falha. Abrangencia: seccional."
"seccional";"integracoes-sarh:resolver-conflito:seccional";"integracoes-sarh";"resolver-conflito";"gerada automaticamente";"Resolver conflitos entre dados do SARH e dados protegidos do SECP. Abrangencia: seccional."
"seccional";"integracoes-sarh:simular:seccional";"integracoes-sarh";"simular";"gerada automaticamente";"Executar simulação/dry-run da sincronização SARH sem gravar alterações de domínio. Abrangencia: seccional."
"seccional";"integracoes-sarh:visualizar-payload:seccional";"integracoes-sarh";"visualizar-payload";"gerada automaticamente";"Visualizar payload bruto do SARH, com cuidados de LGPD. Abrangencia: seccional."
"seccional";"integracoes-teams:ativar:seccional";"integracoes-teams";"ativar";"gerada automaticamente";"Ativar a integração Microsoft Teams. Abrangencia: seccional."
"seccional";"integracoes-teams:baixar-manifesto:seccional";"integracoes-teams";"baixar-manifesto";"gerada automaticamente";"Baixar o manifesto do aplicativo Microsoft Teams do SECP. Abrangencia: seccional."
"seccional";"integracoes-teams:configurar:seccional";"integracoes-teams";"configurar";"gerada automaticamente";"Configurar parâmetros da integração Microsoft Teams. Abrangencia: seccional."
"seccional";"integracoes-teams:desativar:seccional";"integracoes-teams";"desativar";"gerada automaticamente";"Desativar a integração Microsoft Teams. Abrangencia: seccional."
"seccional";"integracoes-teams:testar:seccional";"integracoes-teams";"testar";"gerada automaticamente";"Executar testes operacionais da integração Microsoft Teams. Abrangencia: seccional."
"seccional";"integracoes-teams:visualizar:seccional";"integracoes-teams";"visualizar";"gerada automaticamente";"Visualizar configuração e saúde da integração Microsoft Teams. Abrangencia: seccional."
"seccional";"jornada:visualizar:seccional";"jornada";"visualizar";"gerada automaticamente";"Visualizar própria jornada. Abrangencia: seccional."
"seccional";"jornadas:gerenciar-politicas:seccional";"jornadas";"gerenciar-politicas";"gerada automaticamente";"Gerenciar políticas de jornada. Abrangencia: seccional."
"seccional";"marcacoes:registrar:seccional";"marcacoes";"registrar";"gerada automaticamente";"Registrar a própria marcação de ponto. Abrangencia: seccional."
"seccional";"marcacoes:registrar-facial:seccional";"marcacoes";"registrar-facial";"gerada automaticamente";"Registrar marcação por reconhecimento facial. Abrangencia: seccional."
"seccional";"marcacoes:registrar-web:seccional";"marcacoes";"registrar-web";"gerada automaticamente";"Registrar marcação via sistema web. Abrangencia: seccional."
"seccional";"marcacoes:visualizar:seccional";"marcacoes";"visualizar";"gerada automaticamente";"Visualizar próprias marcações. Abrangencia: seccional."
"seccional";"painel-executivo:equipamentos:seccional";"painel-executivo";"equipamentos";"gerada automaticamente";"Consultar indicadores tecnicos de equipamentos de ponto no painel executivo. Abrangencia: seccional."
"seccional";"recesso:convocacao:seccional";"recesso";"convocacao";"gerada automaticamente";"Gerenciar convocacoes do recesso forense. Abrangencia: seccional."
"seccional";"recesso:excluir:seccional";"recesso";"excluir";"gerada automaticamente";"Excluir recesso forense cadastrado. Abrangencia: seccional."
"seccional";"recesso:fechar:seccional";"recesso";"fechar";"gerada automaticamente";"Fechar o proprio espelho de recesso. Abrangencia: seccional."
"seccional";"recesso:homologar:seccional";"recesso";"homologar";"gerada automaticamente";"Homologar recesso dos servidores convocados. Abrangencia: seccional."
"seccional";"recesso:relatorio:seccional";"recesso";"relatorio";"declarada explicitamente";"Gerar relatorio de folgas do recesso para SECAP."
"seccional";"relatorios:exportar:seccional";"relatorios";"exportar";"gerada automaticamente";"Exportar relatórios globais em PDF. Abrangencia: seccional."
"seccional";"relatorios-gerenciais:exportar:seccional";"relatorios-gerenciais";"exportar";"gerada automaticamente";"Exportar relatorios gerenciais de todos os servidores. Abrangencia: seccional."
"seccional";"solicitacoes:analisar:seccional";"solicitacoes";"analisar";"gerada automaticamente";"Analisar solicitações dos subordinados. Abrangencia: seccional."
"seccional";"solicitacoes:criar:seccional";"solicitacoes";"criar";"gerada automaticamente";"Criar solicitações próprias de frequência. Abrangencia: seccional."
"seccional";"solicitacoes:visualizar:seccional";"solicitacoes";"visualizar";"gerada automaticamente";"Visualizar próprias solicitações. Abrangencia: seccional."
"seccional";"substituicoes-funcao:aprovar-pagamento:seccional";"substituicoes-funcao";"aprovar-pagamento";"declarada explicitamente";"Aprovar, rejeitar ou cancelar pagamentos calculados de substituição."
"seccional";"substituicoes-funcao:calcular-pagamento:seccional";"substituicoes-funcao";"calcular-pagamento";"declarada explicitamente";"Calcular pagamento de substituição com base em afastamentos, faltas e regras da seccional."
"seccional";"substituicoes-funcao:configurar-valores:seccional";"substituicoes-funcao";"configurar-valores";"declarada explicitamente";"Configurar referências e valores de funções usados no cálculo de substituição."
"seccional";"substituicoes-funcao:enviar-folha:seccional";"substituicoes-funcao";"enviar-folha";"declarada explicitamente";"Marcar pagamentos de substituição como enviados para processamento em folha."
"seccional";"teams-aprovacoes:analisar:seccional";"teams-aprovacoes";"analisar";"gerada automaticamente";"Analisar aprovações pelo Microsoft Teams. Abrangencia: seccional."
"seccional";"teams-banco-horas:consultar:seccional";"teams-banco-horas";"consultar";"gerada automaticamente";"Consultar banco de horas pelo Microsoft Teams. Abrangencia: seccional."
"seccional";"teams-bot:usar:seccional";"teams-bot";"usar";"gerada automaticamente";"Usar o bot conversacional do SECP no Microsoft Teams. Abrangencia: seccional."
"seccional";"teams-homologacao:analisar:seccional";"teams-homologacao";"analisar";"gerada automaticamente";"Analisar homologações pelo Microsoft Teams. Abrangencia: seccional."
"seccional";"teams-notificacoes:receber:seccional";"teams-notificacoes";"receber";"gerada automaticamente";"Receber notificações individuais do SECP no Microsoft Teams. Abrangencia: seccional."
"seccional";"teams-ponto:registrar:seccional";"teams-ponto";"registrar";"gerada automaticamente";"Registrar ponto pelo Microsoft Teams quando autorizado. Abrangencia: seccional."
"seccional";"teams-solicitacoes:criar:seccional";"teams-solicitacoes";"criar";"gerada automaticamente";"Criar solicitações pelo Microsoft Teams. Abrangencia: seccional."
"subordinados";"afastamentos:consultar:subordinados";"afastamentos";"consultar";"gerada automaticamente";"Consultar afastamentos importados do SARH em âmbito global. Abrangencia: subordinados."
"subordinados";"afd:importar:subordinados";"afd";"importar";"gerada automaticamente";"Importar arquivos AFD de equipamentos biométricos. Abrangencia: subordinados."
"subordinados";"apuracao:consultar:subordinados";"apuracao";"consultar";"gerada automaticamente";"Consultar apurações de todos os servidores. Abrangencia: subordinados."
"subordinados";"apuracao:recalcular:subordinados";"apuracao";"recalcular";"gerada automaticamente";"Recalcular apurações de frequência. Abrangencia: subordinados."
"subordinados";"auditoria:consultar:subordinados";"auditoria";"consultar";"gerada automaticamente";"Consultar trilhas de auditoria do sistema. Abrangencia: subordinados."
"subordinados";"auditoria:detalhar:subordinados";"auditoria";"detalhar";"gerada automaticamente";"Detalhar eventos de auditoria do sistema. Abrangencia: subordinados."
"subordinados";"auditoria:exportar:subordinados";"auditoria";"exportar";"gerada automaticamente";"Exportar trilhas de auditoria. Abrangencia: subordinados."
"subordinados";"banco-horas:gerenciar:subordinados";"banco-horas";"gerenciar";"gerada automaticamente";"Gerenciar e recalcular banco de horas. Abrangencia: subordinados."
"subordinados";"banco-horas:visualizar:subordinados";"banco-horas";"visualizar";"gerada automaticamente";"Visualizar próprio banco de horas. Abrangencia: subordinados."
"subordinados";"biometria:cadastrar:subordinados";"biometria";"cadastrar";"gerada automaticamente";"Cadastrar a própria biometria facial. Abrangencia: subordinados."
"subordinados";"biometria:consultar:subordinados";"biometria";"consultar";"gerada automaticamente";"Consultar o próprio cadastro biométrico facial. Abrangencia: subordinados."
"subordinados";"biometria:gerenciar:subordinados";"biometria";"gerenciar";"gerada automaticamente";"Gerenciar cadastros biométricos faciais. Abrangencia: subordinados."
"subordinados";"biometria:validar:subordinados";"biometria";"validar";"gerada automaticamente";"Validar marcação com biometria facial própria. Abrangencia: subordinados."
"subordinados";"biometriafacial:cadastrar:subordinados";"biometriafacial";"cadastrar";"gerada automaticamente";"Cadastrar biometria facial de terceiros. Abrangencia: subordinados."
"subordinados";"biometriafacial:invalidar:subordinados";"biometriafacial";"invalidar";"gerada automaticamente";"Invalidar cadastro de biometria facial. Abrangencia: subordinados."
"subordinados";"biometriafacial:recadastrar:subordinados";"biometriafacial";"recadastrar";"gerada automaticamente";"Recadastrar biometria facial de terceiros. Abrangencia: subordinados."
"subordinados";"biometriafacial:registrar:subordinados";"biometriafacial";"registrar";"gerada automaticamente";"Usar reconhecimento facial no registro do proprio ponto. Abrangencia: subordinados."
"subordinados";"biometriafacial:visualizar:subordinados";"biometriafacial";"visualizar";"gerada automaticamente";"Consultar eventos e tentativas de biometria facial. Abrangencia: subordinados."
"subordinados";"boletim-frequencia:consultar:subordinados";"boletim-frequencia";"consultar";"gerada automaticamente";"Consultar Boletins de Frequência. Abrangencia: subordinados."
"subordinados";"boletim-frequencia:receber:subordinados";"boletim-frequencia";"receber";"gerada automaticamente";"Registrar recebimento/conferência do Boletim pela SECAP/NUCGP. Abrangencia: subordinados."
"subordinados";"boletim-frequencia:visualizar:subordinados";"boletim-frequencia";"visualizar";"gerada automaticamente";"Visualizar próprio boletim de frequência. Abrangencia: subordinados."
"subordinados";"chefias:gerenciar:subordinados";"chefias";"gerenciar";"gerada automaticamente";"Gerenciar chefias, gestores, substitutos e delegações. Abrangencia: subordinados."
"subordinados";"configuracoes:gerenciar:subordinados";"configuracoes";"gerenciar";"gerada automaticamente";"Gerenciar parâmetros gerais do SECP. Abrangencia: subordinados."
"subordinados";"contracheque:consultar:subordinados";"contracheque";"consultar";"gerada automaticamente";"Consultar e exportar o próprio contracheque diretamente no SARH. Abrangencia: subordinados."
"subordinados";"dashboard:visualizar:subordinados";"dashboard";"visualizar";"gerada automaticamente";"Visualizar dashboard próprio. Abrangencia: subordinados."
"subordinados";"espelho-ponto:visualizar:subordinados";"espelho-ponto";"visualizar";"gerada automaticamente";"Visualizar próprio espelho de ponto. Abrangencia: subordinados."
"subordinados";"fusos-horarios:gerenciar:subordinados";"fusos-horarios";"gerenciar";"gerada automaticamente";"Gerenciar fusos horarios disponiveis para orgaos e unidades. Abrangencia: subordinados."
"subordinados";"homologacao:consultar:subordinados";"homologacao";"consultar";"gerada automaticamente";"Consultar homologações mensais de todas as unidades. Abrangencia: subordinados."
"subordinados";"horas-extras:analisar-excecao:subordinados";"horas-extras";"analisar-excecao";"gerada automaticamente";"Analisar excecoes de calculo de servico extraordinario. Abrangencia: subordinados."
"subordinados";"horas-extras:aprovar-parcial:subordinados";"horas-extras";"aprovar-parcial";"gerada automaticamente";"Aprovar parcialmente solicitacoes de servico extraordinario. Abrangencia: subordinados."
"subordinados";"horas-extras:auditar:subordinados";"horas-extras";"auditar";"gerada automaticamente";"Auditar solicitacoes, calculos e lotes de servico extraordinario. Abrangencia: subordinados."
"subordinados";"horas-extras:cancelar:subordinados";"horas-extras";"cancelar";"gerada automaticamente";"Cancelar solicitacoes proprias de servico extraordinario ainda permitidas pelo fluxo. Abrangencia: subordinados."
"subordinados";"horas-extras:cancelar-autorizacao:subordinados";"horas-extras";"cancelar-autorizacao";"gerada automaticamente";"Cancelar ou substituir autorizacoes de servico extraordinario. Abrangencia: subordinados."
"subordinados";"horas-extras:configurar-politica:subordinados";"horas-extras";"configurar-politica";"gerada automaticamente";"Configurar politicas versionadas de servico extraordinario. Abrangencia: subordinados."
"subordinados";"horas-extras:configurar-responsaveis:subordinados";"horas-extras";"configurar-responsaveis";"gerada automaticamente";"Configurar responsaveis funcionais do fluxo de servico extraordinario. Abrangencia: subordinados."
"subordinados";"horas-extras:configurar-workflow:subordinados";"horas-extras";"configurar-workflow";"gerada automaticamente";"Configurar workflows versionados de servico extraordinario. Abrangencia: subordinados."
"subordinados";"horas-extras:deliberar:subordinados";"horas-extras";"deliberar";"gerada automaticamente";"Registrar deliberacao final de servico extraordinario. Abrangencia: subordinados."
"subordinados";"horas-extras:devolver:subordinados";"horas-extras";"devolver";"gerada automaticamente";"Devolver solicitacoes de servico extraordinario para correcao. Abrangencia: subordinados."
"subordinados";"horas-extras:encaminhar-orcamento:subordinados";"horas-extras";"encaminhar-orcamento";"gerada automaticamente";"Encaminhar solicitacoes de servico extraordinario para analise orcamentaria. Abrangencia: subordinados."
"subordinados";"horas-extras:exportar:subordinados";"horas-extras";"exportar";"gerada automaticamente";"Exportar demonstrativos e lotes de servico extraordinario. Abrangencia: subordinados."
"subordinados";"horas-extras:fechar-lote:subordinados";"horas-extras";"fechar-lote";"gerada automaticamente";"Fechar lote mensal de pagamento de servico extraordinario. Abrangencia: subordinados."
"subordinados";"horas-extras:gerar-lote:subordinados";"horas-extras";"gerar-lote";"gerada automaticamente";"Gerar lote mensal de pagamento de servico extraordinario. Abrangencia: subordinados."
"subordinados";"horas-extras:rejeitar:subordinados";"horas-extras";"rejeitar";"gerada automaticamente";"Rejeitar solicitacoes de servico extraordinario conforme competencia do fluxo. Abrangencia: subordinados."
"subordinados";"horas-extras:reprocessar:subordinados";"horas-extras";"reprocessar";"gerada automaticamente";"Reprocessar calculos de servico extraordinario. Abrangencia: subordinados."
"subordinados";"horas-extras:responder-orcamento:subordinados";"horas-extras";"responder-orcamento";"gerada automaticamente";"Registrar parecer orcamentario para servico extraordinario. Abrangencia: subordinados."
"subordinados";"horas-extras:solicitar:subordinados";"horas-extras";"solicitar";"declarada explicitamente";"Criar solicitacoes de servico extraordinario para servidores da unidade."
"subordinados";"horas-extras:visualizar:subordinados";"horas-extras";"visualizar";"gerada automaticamente";"Visualizar as proprias solicitacoes e autorizacoes de servico extraordinario. Abrangencia: subordinados."
"subordinados";"horas-extras:visualizar-execucao:subordinados";"horas-extras";"visualizar-execucao";"gerada automaticamente";"Visualizar execucao e calculos de servico extraordinario. Abrangencia: subordinados."
"subordinados";"horas-extras:visualizar-folha:subordinados";"horas-extras";"visualizar-folha";"gerada automaticamente";"Visualizar previa e lotes de pagamento de servico extraordinario. Abrangencia: subordinados."
"subordinados";"integracoes:consultar:subordinados";"integracoes";"consultar";"gerada automaticamente";"Consultar status, logs e equipamentos de integração. Abrangencia: subordinados."
"subordinados";"integracoes:gerenciar:subordinados";"integracoes";"gerenciar";"gerada automaticamente";"Gerenciar integrações externas e equipamentos biométricos. Abrangencia: subordinados."
"subordinados";"integracoes:receber-webhook:subordinados";"integracoes";"receber-webhook";"gerada automaticamente";"Receber eventos externos por webhook. Abrangencia: subordinados."
"subordinados";"integracoes:sincronizar:subordinados";"integracoes";"sincronizar";"gerada automaticamente";"Executar sincronizações manuais com sistemas externos. Abrangencia: subordinados."
"subordinados";"integracoes-sarh:configurar:subordinados";"integracoes-sarh";"configurar";"gerada automaticamente";"Configurar URL base, endpoints, timeouts e parâmetros da integração SARH. Abrangencia: subordinados."
"subordinados";"integracoes-sarh:consultar:subordinados";"integracoes-sarh";"consultar";"gerada automaticamente";"Consultar painel, execuções, itens, erros e conflitos da integração SARH. Abrangencia: subordinados."
"subordinados";"integracoes-sarh:executar:subordinados";"integracoes-sarh";"executar";"gerada automaticamente";"Executar carga inicial ou sincronização manual com o SARH. Abrangencia: subordinados."
"subordinados";"integracoes-sarh:reprocessar:subordinados";"integracoes-sarh";"reprocessar";"gerada automaticamente";"Reprocessar item, matrícula, unidade, cargo ou execução SARH com falha. Abrangencia: subordinados."
"subordinados";"integracoes-sarh:resolver-conflito:subordinados";"integracoes-sarh";"resolver-conflito";"gerada automaticamente";"Resolver conflitos entre dados do SARH e dados protegidos do SECP. Abrangencia: subordinados."
"subordinados";"integracoes-sarh:simular:subordinados";"integracoes-sarh";"simular";"gerada automaticamente";"Executar simulação/dry-run da sincronização SARH sem gravar alterações de domínio. Abrangencia: subordinados."
"subordinados";"integracoes-sarh:visualizar-payload:subordinados";"integracoes-sarh";"visualizar-payload";"gerada automaticamente";"Visualizar payload bruto do SARH, com cuidados de LGPD. Abrangencia: subordinados."
"subordinados";"integracoes-teams:ativar:subordinados";"integracoes-teams";"ativar";"gerada automaticamente";"Ativar a integração Microsoft Teams. Abrangencia: subordinados."
"subordinados";"integracoes-teams:baixar-manifesto:subordinados";"integracoes-teams";"baixar-manifesto";"gerada automaticamente";"Baixar o manifesto do aplicativo Microsoft Teams do SECP. Abrangencia: subordinados."
"subordinados";"integracoes-teams:configurar:subordinados";"integracoes-teams";"configurar";"gerada automaticamente";"Configurar parâmetros da integração Microsoft Teams. Abrangencia: subordinados."
"subordinados";"integracoes-teams:desativar:subordinados";"integracoes-teams";"desativar";"gerada automaticamente";"Desativar a integração Microsoft Teams. Abrangencia: subordinados."
"subordinados";"integracoes-teams:testar:subordinados";"integracoes-teams";"testar";"gerada automaticamente";"Executar testes operacionais da integração Microsoft Teams. Abrangencia: subordinados."
"subordinados";"integracoes-teams:visualizar:subordinados";"integracoes-teams";"visualizar";"gerada automaticamente";"Visualizar configuração e saúde da integração Microsoft Teams. Abrangencia: subordinados."
"subordinados";"jornada:visualizar:subordinados";"jornada";"visualizar";"gerada automaticamente";"Visualizar própria jornada. Abrangencia: subordinados."
"subordinados";"jornadas:gerenciar:subordinados";"jornadas";"gerenciar";"gerada automaticamente";"Gerenciar jornadas, escalas e atribuições de jornada aos servidores. Abrangencia: subordinados."
"subordinados";"jornadas:gerenciar-politicas:subordinados";"jornadas";"gerenciar-politicas";"gerada automaticamente";"Gerenciar políticas de jornada. Abrangencia: subordinados."
"subordinados";"marcacoes:consultar:subordinados";"marcacoes";"consultar";"gerada automaticamente";"Consultar marcações de todos os servidores. Abrangencia: subordinados."
"subordinados";"marcacoes:excluir:subordinados";"marcacoes";"excluir";"gerada automaticamente";"Excluir/cancelar marcacoes de ponto. Abrangencia: subordinados."
"subordinados";"marcacoes:gerenciar:subordinados";"marcacoes";"gerenciar";"gerada automaticamente";"Gerenciar marcações. Abrangencia: subordinados."
"subordinados";"marcacoes:registrar:subordinados";"marcacoes";"registrar";"gerada automaticamente";"Registrar a própria marcação de ponto. Abrangencia: subordinados."
"subordinados";"marcacoes:registrar-facial:subordinados";"marcacoes";"registrar-facial";"gerada automaticamente";"Registrar marcação por reconhecimento facial. Abrangencia: subordinados."
"subordinados";"marcacoes:registrar-web:subordinados";"marcacoes";"registrar-web";"gerada automaticamente";"Registrar marcação via sistema web. Abrangencia: subordinados."
"subordinados";"marcacoes:visualizar:subordinados";"marcacoes";"visualizar";"gerada automaticamente";"Visualizar próprias marcações. Abrangencia: subordinados."
"subordinados";"menus:personalizar:subordinados";"menus";"personalizar";"gerada automaticamente";"Personalizar menus laterais por perfil. Abrangencia: subordinados."
"subordinados";"painel-executivo:consultar:subordinados";"painel-executivo";"consultar";"gerada automaticamente";"Consultar painel executivo com indicadores gerenciais de frequencia, homologacao, pendencias e conformidade. Abrangencia: subordinados."
"subordinados";"painel-executivo:equipamentos:subordinados";"painel-executivo";"equipamentos";"gerada automaticamente";"Consultar indicadores tecnicos de equipamentos de ponto no painel executivo. Abrangencia: subordinados."
"subordinados";"perfis:gerenciar:subordinados";"perfis";"gerenciar";"gerada automaticamente";"Gerenciar perfis e permissões. Abrangencia: subordinados."
"subordinados";"procedimentos-frequencia:autorizar:subordinados";"procedimentos-frequencia";"autorizar";"gerada automaticamente";"Autorizar procedimentos administrativos de frequencia em todos os orgaos. Abrangencia: subordinados."
"subordinados";"procedimentos-frequencia:consultar:subordinados";"procedimentos-frequencia";"consultar";"gerada automaticamente";"Consultar procedimentos administrativos de frequencia de todos os orgaos. Abrangencia: subordinados."
"subordinados";"procedimentos-frequencia:emitir-nada-consta:subordinados";"procedimentos-frequencia";"emitir-nada-consta";"gerada automaticamente";"Emitir Nada Consta de frequencia para servidores de todos os orgaos. Abrangencia: subordinados."
"subordinados";"procedimentos-frequencia:executar:subordinados";"procedimentos-frequencia";"executar";"gerada automaticamente";"Registrar execucao de procedimentos administrativos de frequencia em todos os orgaos. Abrangencia: subordinados."
"subordinados";"procedimentos-frequencia:gerenciar:subordinados";"procedimentos-frequencia";"gerenciar";"gerada automaticamente";"Gerenciar procedimentos administrativos de frequencia de todos os orgaos. Abrangencia: subordinados."
"subordinados";"recesso:aceitar:subordinados";"recesso";"aceitar";"gerada automaticamente";"Aceitar homologacao do recesso pela SECAD. Abrangencia: subordinados."
"subordinados";"recesso:consultar:subordinados";"recesso";"consultar";"gerada automaticamente";"Consultar o proprio recesso forense. Abrangencia: subordinados."
"subordinados";"recesso:convocacao:subordinados";"recesso";"convocacao";"gerada automaticamente";"Gerenciar convocacoes do recesso forense. Abrangencia: subordinados."
"subordinados";"recesso:excluir:subordinados";"recesso";"excluir";"gerada automaticamente";"Excluir recesso forense cadastrado. Abrangencia: subordinados."
"subordinados";"recesso:fechar:subordinados";"recesso";"fechar";"gerada automaticamente";"Fechar o proprio espelho de recesso. Abrangencia: subordinados."
"subordinados";"recesso:gerenciar:subordinados";"recesso";"gerenciar";"gerada automaticamente";"Gerenciar recesso forense anual. Abrangencia: subordinados."
"subordinados";"recesso:relatorio:subordinados";"recesso";"relatorio";"gerada automaticamente";"Gerar relatorio de folgas do recesso para SECAP. Abrangencia: subordinados."
"subordinados";"regulamentacao-ponto:gerenciar:subordinados";"regulamentacao-ponto";"gerenciar";"gerada automaticamente";"Gerenciar regras de regulamentação do ponto por órgão. Abrangencia: subordinados."
"subordinados";"relatorios:consultar:subordinados";"relatorios";"consultar";"gerada automaticamente";"Consultar relatórios globais de frequência, espelho, banco de horas e boletins. Abrangencia: subordinados."
"subordinados";"relatorios:exportar:subordinados";"relatorios";"exportar";"gerada automaticamente";"Exportar relatórios globais em PDF. Abrangencia: subordinados."
"subordinados";"relatorios-gerenciais:exportar:subordinados";"relatorios-gerenciais";"exportar";"gerada automaticamente";"Exportar relatorios gerenciais de todos os servidores. Abrangencia: subordinados."
"subordinados";"servidores:consultar:subordinados";"servidores";"consultar";"gerada automaticamente";"Consultar servidores. Abrangencia: subordinados."
"subordinados";"servidores:gerenciar:subordinados";"servidores";"gerenciar";"gerada automaticamente";"Gerenciar servidores e vínculos. Abrangencia: subordinados."
"subordinados";"solicitacoes:consultar:subordinados";"solicitacoes";"consultar";"gerada automaticamente";"Consultar todas as solicitações. Abrangencia: subordinados."
"subordinados";"solicitacoes:criar:subordinados";"solicitacoes";"criar";"gerada automaticamente";"Criar solicitações próprias de frequência. Abrangencia: subordinados."
"subordinados";"solicitacoes:visualizar:subordinados";"solicitacoes";"visualizar";"gerada automaticamente";"Visualizar próprias solicitações. Abrangencia: subordinados."
"subordinados";"substituicoes-funcao:aprovar-pagamento:subordinados";"substituicoes-funcao";"aprovar-pagamento";"gerada automaticamente";"Aprovar, rejeitar ou cancelar pagamentos calculados de substituição em todas as seccionais. Abrangencia: subordinados."
"subordinados";"substituicoes-funcao:calcular-pagamento:subordinados";"substituicoes-funcao";"calcular-pagamento";"gerada automaticamente";"Calcular pagamento de substituição com base em afastamentos, faltas e regras de qualquer seccional. Abrangencia: subordinados."
"subordinados";"substituicoes-funcao:configurar-valores:subordinados";"substituicoes-funcao";"configurar-valores";"gerada automaticamente";"Configurar referências e valores de funções usados no cálculo de substituição em todas as seccionais. Abrangencia: subordinados."
"subordinados";"substituicoes-funcao:consultar:subordinados";"substituicoes-funcao";"consultar";"gerada automaticamente";"Consultar substituições de função, titulares, substitutos e histórico em todas as seccionais. Abrangencia: subordinados."
"subordinados";"substituicoes-funcao:enviar-folha:subordinados";"substituicoes-funcao";"enviar-folha";"gerada automaticamente";"Marcar pagamentos de substituição como enviados para processamento em folha em todas as seccionais. Abrangencia: subordinados."
"subordinados";"substituicoes-funcao:gerenciar:subordinados";"substituicoes-funcao";"gerenciar";"gerada automaticamente";"Cadastrar, editar, suspender e encerrar substituições de função em todas as seccionais. Abrangencia: subordinados."
"subordinados";"teams-aprovacoes:analisar:subordinados";"teams-aprovacoes";"analisar";"gerada automaticamente";"Analisar aprovações pelo Microsoft Teams. Abrangencia: subordinados."
"subordinados";"teams-banco-horas:consultar:subordinados";"teams-banco-horas";"consultar";"gerada automaticamente";"Consultar banco de horas pelo Microsoft Teams. Abrangencia: subordinados."
"subordinados";"teams-bot:usar:subordinados";"teams-bot";"usar";"gerada automaticamente";"Usar o bot conversacional do SECP no Microsoft Teams. Abrangencia: subordinados."
"subordinados";"teams-homologacao:analisar:subordinados";"teams-homologacao";"analisar";"gerada automaticamente";"Analisar homologações pelo Microsoft Teams. Abrangencia: subordinados."
"subordinados";"teams-notificacoes:receber:subordinados";"teams-notificacoes";"receber";"gerada automaticamente";"Receber notificações individuais do SECP no Microsoft Teams. Abrangencia: subordinados."
"subordinados";"teams-ponto:registrar:subordinados";"teams-ponto";"registrar";"gerada automaticamente";"Registrar ponto pelo Microsoft Teams quando autorizado. Abrangencia: subordinados."
"subordinados";"teams-solicitacoes:criar:subordinados";"teams-solicitacoes";"criar";"gerada automaticamente";"Criar solicitações pelo Microsoft Teams. Abrangencia: subordinados."
"subordinados";"unidades:gerenciar:subordinados";"unidades";"gerenciar";"gerada automaticamente";"Gerenciar estrutura organizacional. Abrangencia: subordinados."
"subordinados";"usuarios:consultar:subordinados";"usuarios";"consultar";"gerada automaticamente";"Consultar usuários do sistema. Abrangencia: subordinados."
"subordinados";"usuarios:gerenciar:subordinados";"usuarios";"gerenciar";"gerada automaticamente";"Gerenciar usuários do sistema. Abrangencia: subordinados."
